ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
111,PowerDMS Student Records,​Records for all Metro employees who have been assigned to take courses on PowerDMS.,Powerdms,Human Resources,Communications And Policy,David Holland,Not listed,Internal,Excel Spread Sheets,Continuous,Unknown,Other,Not applicable,No link available
112,Audit Reports Listing,"​This dataset includes all audits from 2003 to present. The purpose is to make the process of viewing particular audit reports, based on the description or other specific criteria, easily acccessible within  minutes.",Agencyweb,Internal Auditor,Internal Audit,Internal Audit,Tiffany Smith,Public,Csv File,Quarterly,Unknown,Citywide,Not applicable,No link available
113,Participant Records,Program participant and participation records.,Kee Suite,Kentuckiana Works Foundation,Unspecified,Jaime L. Disney,Not listed,Public,Unknown,Continuous,Unknown,Citywide,Not applicable,No link available
114,Company and Contact Data,Company address and contact information along with personnel working at the company.,Unknown,Kentuckiana Works Foundation,Unspecified,Rider Rodriguez,Not listed,Sensitive,Unknown,Continuous,Unknown,Regional,Street address,https://kydev.my.salesforce.com/
115,"People CountsNumber of visitors to library locations, viewable by locations and date/time.Number of visitors to library locations, viewable by locations and date/time.",No description provided,Sensource Inc - Vea,Library,Unspecified,Greg Schwartz,Greg Schwartz,Public,Unknown,Continuous,Unknown,Citywide,Other,No link available
116,Narcan Use,​Narcan use from LMEMS PCR and other agencies/ providers use of narcan and dosage amount,Overdoses,Louisville Metro Ems,Unspecified,Jennifer Jones,Jennifer Jones,Sensitive,Excel Spread Sheets,Daily,Updated Daily,Citywide,Street address;#Zip code;#City;#Other,No link available
117,ODMap Case Information,No description provided,Overdoses,Louisville Metro Ems,Unspecified,Jennifer Jones,Jennifer Jones,Sensitive,Application Database,Daily,Daily,Citywide,Street address;#Zip code;#City;#Other,https://odmap.hidta.org/
118,Substance Abuse Data Set,​Data set includes all types of substance abuse calls for service (CFS) in Jefferson County with LMEMS response.,Overdoses,Louisville Metro Ems,Unspecified,Jennifer Jones,Jennifer Jones,Sensitive,Excel Spread Sheets,Daily,Updated Daily,Citywide,Zip code;#Other,No link available
119,Licensing,"​Enables LMAS to track the number of owned cats, dogs, and ferrets in Jefferson County. Assists in reuniting pets with their owners. Allows LMAS to track rabies vaccination compliance",Unknown,Metro Animal Services,Business Office,Adam Hamilton,Skip Kalkhof,Public,Unknown,Continuous,Unknown,Citywide,Street address;#Zip code;#City,No link available
120,Crime Hot Spot Map,No description provided,I/Leads Rms,Metro Police,Technical Services,Not listed,Not listed,Sensitive,Unknown,Continuous,Unknown,Citywide,Not applicable,No link available
121,Second Division Mileage Log,No description provided,Excel Spreadsheet,Metro Police,Second Division,Admin Lieutenant,Not listed,Sensitive,Unknown,Continuous,Unknown,Citywide,Not applicable,No link available
122,Second Division Vehicle Inspections,No description provided,Excel Spreadsheet,Metro Police,Second Division,Admin Lieutenant,Not listed,Sensitive,Unknown,Continuous,Unknown,Citywide,Not applicable,No link available
123,Active Data Governance Member Participation,"Lists all the current members of Data Governance and shows there level of participation for the current calendar year.  Fields include: Member Name, Role, Department, Number Working Groups, Number Badges Earned, Number of Events Attended, Division, Supervisor, Leader, Month and year Joined/Left, and Attendance for each month",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,Other,Not applicable,No link available
124,Guest Data Governance Participation,"​List the guests that have attended Data Governance events during the current calendar year.  Fields include: Guest Name, Role, Department, Number of events attended, and month of attendance",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,Other,Not applicable,No link available
125,Retired Data Governance Members,No description provided,Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,Other,Not applicable,No link available
126,Data Inventory Progress,"​This dataset is used to track the progress of all departments in completing the data inventory.  Fields include: Department, Inventory Lead, Number of data sources, Number of Datasets, Designated Lead (y/n), Inventory Progress (0-5), Inventory Verified (0-3), Open Metadata (0-5), Open Percent (0-5), and Total Score (0-20).",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Public,Excel Spread Sheets,Monthly,Jan 2018 to today,Citywide,Not applicable,No link available
127,Waze Alerts,"​All alerts reported to the Waze app for Louisville, KY.",Waze For Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds,Internal,Sql Database (Stand Alone),Continuous,June 2016 to the present,Citywide,Latitude/longitude,No link available
128,Waze Jams,"​All jams detected by the Waze app for Louisville, KY.  Includes information on traffic jams, cities reports, and geographic coordinates.",Waze For Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds,Internal,Sql Database (Stand Alone),Continuous,June 2016 to the present,Citywide,Latitude/longitude,No link available
